"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"2313767";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313767";"SBR";"1";"0";"709";"Subemenda de Relator";"Assim, votamos pela constitucionalidade, juridicidade e boa técnica legislativa do PL nº 5.717/16 e do PL nº 8.988/17 (apensado); pela constitucionalidade, juridicidade e boa técnica legislativa do substitutivo/CTASP, com a redação dada pela subemenda em anexo; e finalmente pela constitucionalidade, juridicidade e boa técnica legislativa da subemenda/CVT ao substitutivo/CTASP.";"";"";"2022-01-10T20:34:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2177174";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2125244";"";"2022-01-10T20:34:00";"1";"";"";"";"";"";"Apresentação de Proposição";"100";"";"";"Apresentação da Subemenda de Relator n. 1 CCJC, pela Deputada Christiane de Souza Yared (PL-PR).";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2125244"
"2313775";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313775";"MSC";"21";"2022";"411";"Mensagem de Acordos, convênios, tratados e atos internacionais";"Submete à elevada consideração  dos Senhores Membros do Congresso Nacional, nos termos do disposto no art. 49, inciso I, combinado com o art. 84, inciso VIII, da Constituição, acompanhado de Exposição de Motivos do Senhor Ministro de Estado das Relações Exteriores, o texto do Acordo sobre a Mobilidade entre os Estados-Membros da Comunidade dos Países de Língua Portuguesa (CPLP), assinado em Luanda, em 17 de julho de 2021.";"";"";"2022-01-14T15:54:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130508";"";"2022-02-03T15:15:00";"6";"";"100001";"SECAP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100001";"Prioridade (Art. 151, II, RICD)";"Apresentação de Requerimento";"194";"Aguardando Chancela e Publicação do Despacho";"1210";"Apresentação do Requerimento de Urgência (Art. 155 do RICD) n. 29/2022, pelo Deputado Aécio Neves  (PSDB/MG) e outros, que ""Requer, nos termos do artigo 155 do Regimento Interno, tramitação sob o regime urgência da MSC 21/2022"".";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2131820"
"2313776";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313776";"MPV";"1096";"2022";"291";"Medida Provisória";"Abre crédito extraordinário, em favor do Ministério do Desenvolvimento Regional, no valor de R$ 550.000.000,00, para o fim que especifica";"";"";"2022-01-21T09:23:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130600";"";"2022-02-04T00:00:00";"7";"";"6855";"CMO";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"Urgência (Art. 62, CF)";"Notificações";"1005";"Enviada ao Congresso Nacional";"1299";"Encerrado o prazo regimental, à Medida Provisória, foram apresentadas 6 (seis) emendas. Conforme Instrução Normativa da Secretaria-Geral da Mesa nº 14/2020. A matéria será publicada no DCN de 10/02/2022.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2132446"
"2313777";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313777";"MPV";"1097";"2022";"291";"Medida Provisória";"Abre crédito extraordinário, em favor do Ministério da Infraestrutura, no valor de R$ 418.000.000,00, para o fim que especifica";"";"";"2022-01-21T09:26:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130601";"";"2022-02-04T00:00:00";"7";"";"6855";"CMO";"https://dadosabertos.camara.leg.br/api/v2/orgaos/6855";"Urgência (Art. 62, CF)";"Notificações";"1005";"Enviada ao Congresso Nacional";"1299";"Encerrado o prazo regimental, à Medida Provisória, foram apresentadas 2 (duas) emendas. Conforme Instrução Normativa da Secretaria-Geral da Mesa nº 14/2020. A matéria será publicada no DCN de 10/02/2022.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2132448"
"2313778";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313778";"MPV";"1098";"2022";"291";"Medida Provisória";"Dispõe sobre procedimentos de suspensãode concessões ou de outras obrigações na hipótese de descumprimento de obrigações multilaterais por membro da Organização Mundial do Comércio e altera a Lei nº 12.270, de 24 de junho de 2010.";"";"";"2022-01-27T09:01:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130691";"";"2022-01-27T00:00:00";"3";"";"";"";"";"Urgência (Art. 62, CF)";"Abertura de Prazo";"350";"";"";"Prazo para Emendas: 02/02/2022 a 03/02/2022. 
Comissão Mista: *
Sobrestar Pauta: a partir de 19/03/2022. 
Congresso Nacional: 02/02/2022 a 02/04/2022. 
Prorrogação pelo Congresso Nacional: 

*Nos termos do parágrafo único do art. 2º do Ato Conjunto nº 1, de 2020, durante a pandemia de Covid-19, o parecer da Comissão Mista será proferido, em Plenário, por parlamentar designado na forma regimental.";""
"2313779";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313779";"MSC";"27";"2022";"411";"Mensagem de Acordos, convênios, tratados e atos internacionais";"Submete à consideração  dos membros do Congresso Nacional,  nos termos do disposto no art. 49, inciso I, combinado com o art. 84, inciso VIII, da Constituição, acompanhado de Exposição de Motivos dos Senhores Ministros de Estado das Relações Exteriores e da Justiça e Segurança Pública, o texto do Acordo  entre a República Federativa do Brasil e a República da Índia sobre Assistência Jurídica Mútua em Matéria Penal, assinado em Nova Délhi, em 25 de janeiro de 2020.";"";"";"2022-01-27T17:03:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130728";"";"2022-02-03T00:00:00";"13";"";"";"";"";"Prioridade (Art. 151, II, RICD)";"Publicação de Proposição";"604";"";"";"Encaminhada à publicação. Publicação Inicial no DCD de 04/02/2022.";""
"2313780";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313780";"DOC";"1";"2022";"859";"Indicação de Líder de Partido ou Bloco Parlamentar";"Indica o Deputado Bira do Pindaré (PSB/MA) como Líder da bancada do PSB";"";"";"2022-01-27T12:23:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130762";"";"2022-02-01T13:05:36";"5";"";"100648";"COMPI(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100648";"";"Relatório de Conferência de Assinaturas";"1042";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Relatório de Conferência de Assinaturas Eletrônicas.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130827"
"2313781";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313781";"MPV";"1099";"2022";"291";"Medida Provisória";"Institui o Programa Nacional de Prestação de Serviço Civil Voluntário e o Prêmio Portas Abertas";"";"";"2022-01-28T10:36:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130767";"";"2022-01-28T00:00:00";"3";"";"";"";"";"Urgência (Art. 62, CF)";"Abertura de Prazo";"350";"";"";"Prazo para Emendas: 02/02/2022 a 03/02/2022. 
Comissão Mista: *
Sobrestar Pauta: a partir de 19/03/2022. 
Congresso Nacional: 02/02/2022 a 02/04/2022. 
Prorrogação pelo Congresso Nacional: 

*Nos termos do parágrafo único do art. 2º do Ato Conjunto nº 1, de 2020, durante a pandemia de Covid-19, o parecer da Comissão Mista será proferido, em Plenário, por parlamentar designado na forma regimental.";""
"2313782";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313782";"DOC";"2";"2022";"859";"Indicação de Líder de Partido ou Bloco Parlamentar";"Indicação do novo líder da Bancada do Partido dos Trabalhadores.";"";"";"2022-01-31T09:34:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130769";"";"2022-02-01T13:16:16";"5";"";"100648";"COMPI(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100648";"";"Relatório de Conferência de Assinaturas";"1042";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Relatório de Conferência de Assinaturas Eletrônicas.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130828"
"2313787";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313787";"DOC";"3";"2022";"859";"Indicação de Líder de Partido ou Bloco Parlamentar";"Troca de Líder do partido NOVO";"";"";"2022-02-01T10:44:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130812";"";"2022-02-01T13:24:31";"5";"";"100648";"COMPI(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100648";"";"Relatório de Conferência de Assinaturas";"1042";"Aguardando Despacho do Presidente da Câmara dos Deputados";"905";"Relatório de Conferência de Assinaturas Eletrônicas.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2130829"
