"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2167938-18";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2167938-18";"2018-02-19";"2018-02-19T22:27:16";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50718";"https://dadosabertos.camara.leg.br/api/v2/eventos/50718";"0";"10";"286";"53";"Rejeitado o Requerimento. Sim: 10; não: 286; abstenção: 2; total: 298.";"2018-02-19T21:54:49";"Votação do Requerimento do Dep. Ivan Valente (PSOL-SP),  que solicita votação nominal para o Requerimento de retirada de pauta desta Mensagem.";"2018-02-16T15:59:10";"Apresentação da Mensagem n. 80/2018, pelo Poder Executivo, que: ""Submete à apreciação do Congresso Nacional o texto do decreto que 'Decreta intervenção federal no Estado do Rio de Janeiro com o objetivo de pôr termo ao grave comprometimento da ordem pública'.
"".";"0";""
"2167938-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2167938-21";"2018-02-19";"2018-02-19T22:58:09";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50718";"https://dadosabertos.camara.leg.br/api/v2/eventos/50718";"0";"21";"259";"45";"Rejeitado o Requerimento. Sim: 21; não: 259; abstenção: 2; total: 282.";"2018-02-19T22:29:19";"Votação do Requerimento do Dep. Ivan Valente (PSOL-SP),  que solicita a retirada de pauta desta Mensagem.";"2018-02-16T15:59:10";"Apresentação da Mensagem n. 80/2018, pelo Poder Executivo, que: ""Submete à apreciação do Congresso Nacional o texto do decreto que 'Decreta intervenção federal no Estado do Rio de Janeiro com o objetivo de pôr termo ao grave comprometimento da ordem pública'.
"".";"0";""
"2168064-9";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2168064-9";"2018-02-19";"2018-02-20T00:39:00";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50721";"https://dadosabertos.camara.leg.br/api/v2/eventos/50721";"1";"328";"7";"58";"Aprovado o Requerimento. Sim: 328; não: 7; abstenção: 1; total:  336.";"2018-02-20T00:08:24";"Votação do Requerimento dos Srs. Líderes que solicita o encerramento da discussão e do encaminhamento da votação.";"2018-02-19T22:59:19";"Apresentação do Projeto de Decreto Legislativo n. 886/2018, pela Comissão de Constituição e Justiça e de Cidadania, que: ""Aprova a intervenção federal no Estado do Rio de Janeiro nos termos do Decreto Presidencial nº 9.288, de 16 de fevereiro de 2018, com o objetivo de pôr termo ao grave comprometimento da ordem pública.

NOVA EMENTA: Aprova o Decreto nº 9.288, de 16 de fevereiro de 2018, que 'Decreta intervenção federal no Estado do Rio de Janeiro com o objetivo de pôr termo ao grave comprometimento da ordem pública'"".";"0";""
"2168064-12";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2168064-12";"2018-02-19";"2018-02-20T01:10:01";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50721";"https://dadosabertos.camara.leg.br/api/v2/eventos/50721";"0";"10";"329";"62";"Rejeitado o Requerimento. Sim: 10; não: 329; abstenção: 1; total: 340.";"2018-02-20T00:40:00";"Votação do Requerimento do Dep. Paulo Pimenta (PT-RS), que solicita o adiamento da votação por duas sessão.";"2018-02-19T22:59:19";"Apresentação do Projeto de Decreto Legislativo n. 886/2018, pela Comissão de Constituição e Justiça e de Cidadania, que: ""Aprova a intervenção federal no Estado do Rio de Janeiro nos termos do Decreto Presidencial nº 9.288, de 16 de fevereiro de 2018, com o objetivo de pôr termo ao grave comprometimento da ordem pública.

NOVA EMENTA: Aprova o Decreto nº 9.288, de 16 de fevereiro de 2018, que 'Decreta intervenção federal no Estado do Rio de Janeiro com o objetivo de pôr termo ao grave comprometimento da ordem pública'"".";"0";""
"2168064-15";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2168064-15";"2018-02-19";"2018-02-20T01:49:56";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50721";"https://dadosabertos.camara.leg.br/api/v2/eventos/50721";"0";"32";"338";"36";"Rejeitado o Requerimento.  Sim: 32; não: 338; abstenção: 1; total: 371.";"2018-02-20T01:11:09";"Votação do Requerimento da Dep. Alice Portugal (PCdoB-BA), que solicita o adiamento da votação por uma sessão.";"2018-02-19T22:59:19";"Apresentação do Projeto de Decreto Legislativo n. 886/2018, pela Comissão de Constituição e Justiça e de Cidadania, que: ""Aprova a intervenção federal no Estado do Rio de Janeiro nos termos do Decreto Presidencial nº 9.288, de 16 de fevereiro de 2018, com o objetivo de pôr termo ao grave comprometimento da ordem pública.

NOVA EMENTA: Aprova o Decreto nº 9.288, de 16 de fevereiro de 2018, que 'Decreta intervenção federal no Estado do Rio de Janeiro com o objetivo de pôr termo ao grave comprometimento da ordem pública'"".";"0";""
"2168064-19";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2168064-19";"2018-02-19";"2018-02-20T02:15:03";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50721";"https://dadosabertos.camara.leg.br/api/v2/eventos/50721";"1";"340";"72";"2";"Aprovado o Projeto de Decreto Legislativo nº 886 de 2018, apresentado pelo Relator da Comissão de Constituição e Justiça e de Cidadania. Sim: 340; não: 72; abstenção: 1; total: 413.";"2018-02-20T01:50:25";"Votação em turno único.";"2018-02-19T22:59:19";"Apresentação do Projeto de Decreto Legislativo n. 886/2018, pela Comissão de Constituição e Justiça e de Cidadania, que: ""Aprova a intervenção federal no Estado do Rio de Janeiro nos termos do Decreto Presidencial nº 9.288, de 16 de fevereiro de 2018, com o objetivo de pôr termo ao grave comprometimento da ordem pública.

NOVA EMENTA: Aprova o Decreto nº 9.288, de 16 de fevereiro de 2018, que 'Decreta intervenção federal no Estado do Rio de Janeiro com o objetivo de pôr termo ao grave comprometimento da ordem pública'"".";"0";""
"2168064-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2168064-21";"2018-02-19";"2018-02-20T02:16:15";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50721";"https://dadosabertos.camara.leg.br/api/v2/eventos/50721";"1";"0";"0";"0";"Aprovada a Redação Final assinada pela Relatora, Dep. Laura Carneiro (PMDB-RJ).";"2018-02-20T02:15:58";"Votação da Redação Final.";"2018-02-19T22:59:19";"Apresentação do Projeto de Decreto Legislativo n. 886/2018, pela Comissão de Constituição e Justiça e de Cidadania, que: ""Aprova a intervenção federal no Estado do Rio de Janeiro nos termos do Decreto Presidencial nº 9.288, de 16 de fevereiro de 2018, com o objetivo de pôr termo ao grave comprometimento da ordem pública.

NOVA EMENTA: Aprova o Decreto nº 9.288, de 16 de fevereiro de 2018, que 'Decreta intervenção federal no Estado do Rio de Janeiro com o objetivo de pôr termo ao grave comprometimento da ordem pública'"".";"0";""
"2168027-2";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2168027-2";"2018-02-20";"2018-02-20T12:19:27";"538146";"https://dadosabertos.camara.leg.br/api/v2/orgaos/538146";"CEXAGRIC";"50709";"https://dadosabertos.camara.leg.br/api/v2/eventos/50709";"1";"0";"0";"0";"Aprovado com alterações propostas pelo Deputado Evandro Roman (inclusão dos seguintes municípios do Paraná: Curitiba, Cascavel, Marechal Cândido Rondon, Toledo, Missal, Irati, Prudentópolis, Guaíra, Medianeira, Palotina, Cafelândia e Umuarama).";"";"";"2018-02-19T17:51:19";"Apresentação do Requerimento n. 1/2018, pelo Deputado Jerônimo Goergen (PP-RS), que: ""Requer a realização de Fórum/Seminário nos Municípios descritos para apresentação e debate dos temas tratados pela Comissão Externa do Endividamento do Setor Agrícola (CEXAGRIC)"".";"0";""
"2151922-57";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2151922-57";"2018-02-21";"2018-02-21T17:18:06";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50728";"https://dadosabertos.camara.leg.br/api/v2/eventos/50728";"0";"17";"245";"100";"Rejeitado o Requerimento.  Sim: 17; não: 245; total: 262.";"2018-02-21T16:10:01";"Votação do Requerimento do Dep. Paulo Pimenta (PT-RS), Líder do PT, que solicita votação nominal para o Requerimento de retirada de pauta desta Medida Provisória.";"";"";"0";""
"2151922-66";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2151922-66";"2018-02-21";"2018-02-21T19:51:45";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"50732";"https://dadosabertos.camara.leg.br/api/v2/eventos/50732";"0";"25";"234";"134";"Rejeitado o Requerimento. Sim: 25; não: 234; abstenção: 3; total: 262.";"2018-02-21T18:50:25";"Votação do Requerimento do Dep. Paulo Pimenta (PT-RS), Líder do PT,  que solicita a retirada de pauta desta Medida Provisória.";"";"";"0";""
