"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PRTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36829";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PvPps";"";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PMN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36801";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"GOV.";"";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PrPtdobPrpPhsPtcPsl";"";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PsbPtbPcdob";"";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PMDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36800";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"Minoria";"";"Sim"
"401376-366";"https://dadosabertos.camara.leg.br/api/v2/votacoes/401376-366";"PLEN";"Aprovada a Emenda Aglutinativa Substitutiva Global. Sim: 401; total: 401.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Sim"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"Sim"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"PMN";"https://dadosabertos.camara.leg.br/api/v2/partidos/36801";"Sim"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Não"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"PsbPtbPcdob";"";"Sim"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"Liberado"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"531883-4";"https://dadosabertos.camara.leg.br/api/v2/votacoes/531883-4";"PLEN";"Aprovado o Requerimento. Sim: 320; não: 46; abstenção: 01; total: 367.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
